Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2/7/2021 5:30,32.3182,-86.9023,471311,8513,252880,209918,1,9612.343813,,,1.806238344,84000001,USA,,,2/6/2021,,
Alaska,US,2/7/2021 5:30,61.3707,-152.4044,55261,279,,,2,7554.012398,1536911,,0.504876857,84000002,USA,210091.1085,,2/6/2021,,
American Samoa,US,2/7/2021 5:30,-14.271,-170.132,0,0,,,60,0,2140,,,16,ASM,3846.084722,,2/6/2021,,
Arizona,US,2/7/2021 5:30,33.7298,-111.4312,779093,14011,107304,657778,4,10703.71331,6922180,,1.798373237,84000004,USA,48498.89067,,2/6/2021,,
Arkansas,US,2/7/2021 5:30,34.9697,-92.3731,306064,5061,284162,16841,5,10141.94427,2520485,,1.653575723,84000005,USA,83520.50034,,2/6/2021,,
California,US,2/7/2021 8:30,36.1162,-119.6816,3466346,43588,,,6,8776.846091,43719155,,1.25164111,84000006,USA,110647.1661,,2/6/2021,,
Colorado,US,2/7/2021 5:30,39.0598,-105.3111,421521,5952,21426,377108,8,7019.873806,5628286,,1.415439721,84000008,USA,97734.74596,,2/6/2021,,
Connecticut,US,2/7/2021 5:30,41.5978,-72.7554,259372,7214,9800,242358,9,7274.926254,5959472,,2.781333374,84000009,USA,167152.6584,,2/6/2021,,
Delaware,US,2/7/2021 5:30,39.3185,-75.5071,79832,1329,,,10,8198.290346,1307412,,1.664745967,84000010,USA,1.34264E-05,,2/6/2021,,
Diamond Princess,US,2/7/2021 5:30,,,49,0,,,88888,,,,0,84088888,USA,,,2/6/2021,,
District of Columbia,US,2/7/2021 5:30,38.8974,-77.0268,37877,947,26680,10250,11,5366.922234,1129442,,2.500198009,84000011,USA,160034.5165,,2/6/2021,,
Florida,US,2/7/2021 5:30,27.7663,-81.6868,1771359,27599,,,12,8247.419176,21335315,,1.558069256,84000012,USA,99336.88545,,2/6/2021,,
Georgia,US,2/7/2021 5:30,33.0406,-83.6431,937402,15090,,,13,8828.903209,6628577,,1.609768274,84000013,USA,62431.12853,,2/6/2021,,
Grand Princess,US,2/7/2021 5:30,,,103,3,,,99999,,,,2.912621359,84099999,USA,,,2/6/2021,,
Guam,US,2/7/2021 5:30,13.4443,144.7937,7636,129,7416,91,66,4649.605125,109195,,1.68936616,316,GUM,66489.47506,,2/6/2021,,
Hawaii,US,2/7/2021 5:30,21.0943,-157.4983,27192,416,,,15,1920.512589,997323,,1.529861724,84000015,USA,70438.7826,,2/6/2021,,
Idaho,US,2/7/2021 5:30,44.2405,-114.4788,165209,1767,85439,78003,16,9244.7113,612081,,1.069554322,84000016,USA,34250.62882,,2/6/2021,,
Illinois,US,2/7/2021 5:30,40.3495,-88.9861,1144281,21676,,,17,9030.122821,16555035,,1.894289952,84000017,USA,130644.4827,,2/6/2021,,
Indiana,US,2/7/2021 5:30,39.8494,-86.2583,637987,11752,415130,211105,18,9476.62279,7237304,,1.842043803,84000018,USA,1.07503E-05,,2/6/2021,,
Iowa,US,2/7/2021 5:30,42.0115,-93.2105,324306,5108,293073,26125,19,10278.88446,1266063,,1.575055657,84000019,USA,40127.8894,,2/6/2021,,
Kansas,US,2/7/2021 5:30,38.5266,-96.7265,283561,4112,5912,273902,20,9745.808382,1197053,,1.448264689,84000020,USA,41089.04842,,2/6/2021,,
Kentucky,US,2/7/2021 5:30,37.6681,-84.6701,376253,4020,44916,327317,21,8421.677236,3676301,,1.068430019,84000021,USA,82286.7072,,2/6/2021,,
Louisiana,US,2/7/2021 5:30,31.1695,-91.8678,409861,9076,363457,37328,22,8816.501656,5139629,,2.214409275,84000022,USA,110558.3298,,2/6/2021,,
Maine,US,2/7/2021 5:30,44.6939,-69.3819,41065,634,12521,27910,23,3054.949666,1438225,,1.543893827,84000023,USA,106993.9117,,2/6/2021,,
Maryland,US,2/7/2021 5:30,39.0639,-76.8021,362084,7329,9514,345241,24,5989.136044,7188638,,2.024115951,84000024,USA,1.18905E-05,,2/6/2021,,
